Algoritmo,Num_Clusters,Ruido_Detectado,Silhouette_Score,Cohesion,Tiempo_Ejecucion_Segs
K-Means,5,0,0.0704830065369606,0.6807910827488152,3.553947925567627
HDBSCAN,25,3579,0.22140274941921234,0.47879480374997196,19.485666751861572
